%Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Petts Wood,544440,167548,51.388598981243,0.074494399194959,"5",BR5 1LZ
Piccadilly Circus,529612,180625,51.509696764476,-0.13369718974012,"1",W1J 9HS
Pimlico,529711,178386,51.489552877924,-0.1330938573102,"1",SW1V 2JA
Pinner,512233,189409,51.592361724428,-0.38120935690424,"5",HA5 5LZ
Plaistow,540058,183305,51.531288332324,0.017795056275962,"3",E13 0DY
Plumstead,544803,178820,51.489792413595,0.084314017745385,"4",SE18 7EA
Ponders End,536097,195599,51.642730695,-0.034510654933282,"5",EN3 4LA
Pontoon Dock,541226,180102,51.502216211037,0.033340112607835,"3",E16 2SB
Poplar,537698,180603,51.507588072081,-0.017261086484836,"2",E14 0DS
Preston Road,518260,187292,51.572103763883,-0.29495758553154,"4",HA3 0PS
Prince Regent,541215,180905,51.509434545079,0.033502981448267,"3",E16 3HE
Pudding Mill Lane,537930,183585,51.53432785535,-0.012754096692901,"2,3",E15 2PH
Purfleet,555417,178174,51.481172976438,0.23678923416561,"7",RM16 1PL
Purley,531500,161497,51.337363567516,-0.11359916443804,"6",CR8 2AP
Purley Oaks,532503,162594,51.346989351539,-0.098800976652713,"6",CR2 0ND
Putney,523992,175061,51.460952556568,-0.21658898147399,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.467865362703,-0.20935102262327,"2",SW6 3UH
Queens Park,524612,183239,51.534312675201,-0.20478373421795,"2",NW6 6HJ
Queens Road Peckham,535015,176825,51.474284715779,-0.057340582526957,"2",SE15 2JR
Queensbury,518802,189728,51.593883010111,-0.28631716346916,"4",HA8 5NP
Queenstown Road,528763,176738,51.47495914471,-0.14734091559888,"2",SW8 3RX
Queensway,525883,180615,51.510449255439,-0.18740549543317,"1",W2 4SS
Radlett,516375,199856,51.685413310275,-0.31797317069656,"",WD7 7AP
Rainham,552097,182099,51.517340491331,0.19070638530502,"6",RM13 9YH
Ravensbourne,538699,170201,51.413870378956,-0.0069234381730423,"4",BR3 5HE
Ravenscourt Park,522558,178711,51.494068008984,-0.23595483065011,"2",W6 0UG
Rayners Lane,512979,187538,51.575396777398,-0.371046385824,"5",HA5 5EG
Raynes Park,523206,169303,51.409375373186,-0.22989856350727,"4",SW20 8NE
Rectory Road,534001,186199,51.558763484573,-0.068371241749211,"2",N16 7QB
Redbridge,541833,188371,51.576366911264,0.045408472505876,"4",IG4 5BG
Reedham,530835,160821,51.331441727656,-0.12338827286968,"6",CR8 2DG
Regents Park,528765,182174,51.52381069054,-0.14532999904559,"1",NW1 5HA
Richmond,518072,175174,51.463232922347,-0.30172474133933,"4",TW9 2AZ
Rickmansworth,505717,194605,51.640323072212,-0.47367013575456,"7",WD3 1QY
Riddlesdown,532497,161001,51.332674842588,-0.099479315537562,"6",CR8 1HN
Roding Valley,541612,192882,51.616956440142,0.044040648415103,"4",IG9 6LN
Romford,551377,188455,51.574641568849,0.18306970022131,"6",RM1 1SX
Rotherhithe,535239,179870,51.501594510808,-0.052951891484305,"2",SE16 4LF
Royal Albert,542029,180823,51.508493863562,0.045191552169371,"3",E16 2QD
Royal Oak,525764,181485,51.518294375269,-0.18880926348942,"2",W2 6ET
Royal Victoria,540139,180833,51.509055232332,0.017979819853408,"3",E16 1DE
Ruislip,509510,187102,51.57216197222,-0.42122049909957,"6",HA4 8LD
Ruislip Gardens,510367,185763,51.559960227907,-0.40927968814014,"5",HA4 6LG
Ruislip Manor,510088,187258,51.573451624726,-0.41283492710738,"6",HA4 9AA
Russell Square,530207,182122,51.523013052867,-0.12457578611157,"1",WC1N 1LG
Sanderstead,532855,162743,51.34824626461,-0.093694143249397,"6",CR2 0PL
Selhurst,532993,167636,51.39218578041,-0.089884666539009,"4",SE25 6LL
Seven Kings,545401,187095,51.563993339397,0.096333999350604,"4",IG3 8RE
Seven Sisters,533646,188927,51.583362168372,-0.0724523920649,"3",N15 5LA
Shadwell,534936,180942,51.51130016173,-0.056904799137598,"2",E1 2QE
Shenfield,561356,195022,51.630873056088,0.32996670993987,"7",CM15 8JD
Shepherds Bush,523741,179904,51.50453217729,-0.21850475368199,"2",W12 8LH
Shepherds Bush Market,523121,180039,51.505880735504,-0.22738608723774,"2",W12 7JD
Shoreditch High Street,533501,182258,51.523466827911,-0.077073012851082,"1",E1 6AW
Shortlands,539399,169300,51.40560236593,0.0027819191560382,"4",BR2 0JA
Sidcup,546300,172698,51.43439844437,0.10332974285774,"5",DA15 7AW
Silver Street,533544,192472,51.615242486372,-0.072575300701906,"4",N18 1QX
Slade Green,552250,176584,51.467747631244,0.19053278174752,"6",DA8 2NX
Sloane Square,528080,178657,51.492359782932,-0.1564744555002,"1",SW1W 8BB
Smitham,530098,159802,51.322452969178,-0.13433270854947,"6",CR5 2JA
Snaresbrook,540161,188828,51.580891270601,0.021478357761873,"4",E11 1QE
South Acton,520166,179279,51.499685861011,-0.27020080333496,"3",W3 0DS
South Bermondsey,535156,178319,51.487676621549,-0.054740420692279,"2",SE16 2PL
South Croydon,532896,164358,51.362750208796,-0.092503001948904,"5",CR2 7PA
South Ealing,517605,179437,51.501644057917,-0.30702584019952,"3",W5 4QB
South Hampstead,526425,184081,51.541476868984,-0.1783567825076,"2",NW8 0DJ
South Harrow,514334,186376,51.564680211138,-0.35187954635816,"5",HA2 8HN
South Kensington,526865,178817,51.494071386411,-0.17390862058942,"1",SW7 2NB
South Kenton,517350,187153,51.571044486824,-0.30812855062663,"4",HA9 8QT
South Merton,524917,168662,51.403240579864,-0.20553592740103,"4",SW20 9JT
South Quay,537636,179853,51.500863608239,-0.018446287979256,"2",E14 9SH
South Ruislip,511080,185437,51.55689035096,-0.39910148824501,"5",HA4 6TP
South Tottenham,533697,188599,51.580402594532,-0.071841526783666,"3",N15 6ND
South Wimbledon,525828,170033,51.41536073293,-0.19196016848772,"3,4",SW19 1DE
South Woodford,540577,190026,51.591552612383,0.027957511681624,"4",E18 1JJ
Southall,512620,179804,51.505956957579,-0.37869678379695,"4",UB2 4AA
Southbury,534803,196199,51.648433731335,-0.052968859157203,"5",EN3 4HW
Southfields,524730,173291,51.444883338258,-0.20659499856664,"3",SW18 5RJ
Southgate,529675,194278,51.63237586338,-0.12775560097809,"4",N14 5BH
Southwark,531566,180025,51.503853632869,-0.10578053394541,"1",SE1 8NW
St Helier,525408,167191,51.389912187517,-0.19900022218424,"4",SM4 6SF
St James Street,536402,188694,51.580608667586,-0.032790131848525,"3",E17 7PJ
St Johns,537400,176298,51.468975297065,-0.023226267171585,"2",SE8 4EW
St Margarets,516732,174250,51.455206030249,-0.32130985776381,"4",TW1 2LH
St Mary Cray,546698,168298,51.394759394244,0.10723227089692,"6",BR5 3SN
St Pancras,530122,182959,51.530554416571,-0.12549136793246,"1",NW1 2QP
St. James's Park,529629,179503,51.499609810342,-0.13386435110426,"1",SW1H 0BD
St. Johns Wood,526742,183352,51.534854431713,-0.17405042505482,"2",NW8 6DN
St. Pauls,532105,181261,51.51483530739,-0.097556591574387,"1",EC2V 6AA
Stamford Brook,521913,178738,51.494449997347,-0.24523190696758,"2",W6 0SB
Stamford Hill,533381,187928,51.574447612615,-0.076653913978365,"3",N16 5AG
Stanmore,517574,192569,51.6196734807,-0.30308485086488,"5",HA7 4PD
Star Lane,539148,182091,51.520604250081,0.0042054135552674,"3",E16 4SR
Stepney Green,535566,182149,51.521995838874,-0.047368111957746,"2",E1 4AQ
Stockwell,530473,176470,51.472159270341,-0.12283190859196,"2",SW9 9AE
Stoke Newington,533710,186845,51.564637618307,-0.072320969849242,"2",N16 6YA
Stonebridge Park,519690,184197,51.54398658738,-0.27538602336732,"3",NW10 0RW
Stoneleigh,522021,164155,51.363364082259,-0.248695295654,"5",KT17 2JA
Stratford,538533,184421,51.541692579295,-0.0037372234417709,"3",E15 1AZ
Stratford High Street,538729,184032,51.538148951165,-0.001065939537146,"3",E15 3PA
Stratford International,538175,184758,51.54480853536,-0.0087640154463654,"3",E15 2LZ
Strawberry Hill,515500,172502,51.439747873261,-0.33960334587097,"5",TW1 4PP
Streatham,529946,171303,51.425845878375,-0.13231111566835,"3",SW16 6HP
Streatham Common,529729,170534,51.418984686908,-0.13571178617484,"3",SW16 5NT
Streatham Hill,530233,172714,51.438460380547,-0.1276670964405,"3",SW2 4PA
Sudbury and Harrow Road,516853,185300,51.554493821699,-0.31591182033013,"4",HA0 2HA
Sudbury Hill,515427,185584,51.557339600086,-0.33637769283987,"4",HA1 3RA
Sudbury Hill Harrow,515490,185697,51.558342313079,-0.33543227050831,"4",HA1 3RJ
Sudbury Town,516832,184955,51.551397480891,-0.31632906529511,"4",HA0 2LA
Sundridge Park,540599,170200,51.413393796204,0.020379486210958,"4",BR1 3TR
Surbiton,518070,167315,51.392599569913,-0.3043701893312,"6",KT6 4PE
Surrey Quays,535641,178954,51.493266862158,-0.047515585346921,"2",SE16 2UE
Sutton,526028,163823,51.359506158142,-0.19128765090448,"5",SM1 1JA
Sutton Common,525593,165598,51.375554718505,-0.19690554710689,"4",SM1 3HY
Swiss Cottage,526611,184259,51.543034867714,-0.17561218648329,"2",NW3 6HY
Sydenham,535311,171609,51.427341258001,-0.055074289357489,"3",SE26 5EU
Sydenham Hill,533548,172145,51.432575896828,-0.080215824663043,"3",SE21 7HW
Syon Lane,516306,177163,51.481474727333,-0.32648063620347,"4",TW7 5NT
Tadworth,523097,156199,51.291627892489,-0.23599367683683,"6",KT20 5SP
Tattenham Corner,522593,158140,51.309181339608,-0.24255192829864,"6",KT18 5PR
Teddington,516019,170817,51.424497537357,-0.3326909565597,"6",TW11 9AA
Temple,530995,180810,51.51104062071,-0.11371134239066,"1",WC2R 2PH
Thames Ditton,515721,166818,51.388616113023,-0.33827846842909,"6",KT7 0PA
Theobalds Grove,535933,201119,51.692372592735,-0.034733669022743,"7",EN8 7BG
Theydon Bois,545509,199180,51.672552069981,0.10290519530392,"6",CM16 7EU
Thornton Heath,532242,168317,51.398481089859,-0.10041879260042,"4",CR7 8RX
Tolworth,519834,165603,51.376843349784,-0.27960574939507,"5",KT5 9NU
